number,name,ra_h,ra_m,ra_s,dec_d,dec_m,mag,BD_num,BD_mag,Lal_num,Lal_mag,WB_num,WB_mag,ARGEL,Albany,HEIS
692,,22,52,58,3,41.5,7.1,4805,6.9,44939,7.8,1081,8,,,
693,,22,55,17,3,47.8,7.0,4814,7.0,45030,7.5,1138,8,,,
694,BET PSC,22,57,31,3,8.9,4.4,4818,4.7,45105,4.8,1188,5.5,4.7,4.6,4.7
695,,22,59,9,9,45.9,7.5,5156,8.0,,,1230,7,,,
696,,23,2,31,10,16.9,7.6,4887,7.0,45293,8.5,1,8,,,
697,57 PEG,23,3,13,8,0.0,5.4,4981,5.3,45317,6,16,6,5.3,5.3,5.3
698,58 PEG,23,3,44,9,8.7,5.7,5170,5.5,45330,6,,,5.3,5.4,5.3
699,59 PEG,23,5,26,8,2.5,5.4,4991,6.0,45384,5.8,59,6,5,5.2,5.7
700,,23,7,9,10,23.2,6.1,4902,6.2,45446,7,,,,6.1,6.3
701,,23,7,39,4,19.1,6.9,4985,7.0,45471,7.5,111,8,,,
702,,23,16,30,2,8.0,7.0,4660,7.8,45781,7,310,8,,,
703,66 PEG,23,16,46,11,37.7,5.5,4993,5.3,45791,5.8,,,5.7,5.6,5.7
704,,23,20,20,1,47.5,6.8,4724,8.0,45894,7,383,8,,,
705,70 PEG,23,22,50,12,4.3,4.7,5009,4.8,45974,5.5,,,5,4.7,5
706,,23,24,42,1,40.6,7.1,4731,8.0,46045,8,473,8,,,
707,16 PSC,23,30,1,1,24.5,5.8,4744,6.8,46248,6,599,7,6,5.9,6
708,,23,32,33,11,30.2,6.7,5038,7.8,46323,8,647,8,,,
709,IOT PSC,23,33,31,4,56.9,4.1,5035,4.2,46351,5.5,667,4,4.3,4.3,4.3
710,,23,35,35,6,33.6,5.9,5183,6.5,46442,7,710,6.5,,,6.3
711,LAM PSC,23,35,40,1,5.7,4.5,5037,4.6,46445,5,,,5,4.9,5
712,77 PEG,23,37,0,9,38.3,5.3,5268,5.0,46484,6,734,6,5.7,5.6,5.3
713,,23,39,0,9,29.2,6.6,5277,6.5,46548,8,775,7,,,
714,,23,39,16,12,27.6,7.0,5022,7.3,46553,7.5,777,7.5,,,
715,,23,41,52,6,28.3,7.0,5203,8.0,46630,7.5,831,7.5,,,
716,80 PEG,23,44,59,8,37.3,5.8,5127,6.5,46719,6,,,,,6.3
717,82 PEG,23,46,15,10,15.1,5.3,5004,6.0,46772,6,914,6,5.7,5.7,6
718,,23,46,38,11,12.4,6.7,5068,7.3,,,928,7,,,
719,,23,51,23,10,46.7,6.5,5014,7.0,46961,7,1030,7,,,6.3
720,OME PSC,23,52,54,6,10.3,4.0,5227,4.4,47017,5,1062,5.5,4,3.8,4
721,,23,53,24,10,34.7,6.6,5017,7.0,47044,7.5,1070,7.5,,,
722,86 PEG,23,59,17,12,42.0,5.5,5063,5.5,47241,5.5,1197,6.5,6,5.9,5.7
